"Planet Dynamics session, chaired by:Wei Zhu",,
9:00-9:20,Dong LAI,Hot Jupiters and super-Earths: spin-orbit dynamics in exoplanetary systems
9:20-9:40,Fei DAI,Dynamical evolution of near resonant planetary systems
9:40-9:55,Xiumin HUANG,The EKL mechanism explains the retrograde orbits and retrograde rotation of the planets around the binary star.
9:55-10:10,Su WANG,The formation of hot Jupiter and its companions
10:10-10:50,Conference photo + Coffee/Tea Break,
"Disk Observation II session, chaired by:Hau-Yu Liu",,
10:50-11:10,Min FANG,Disk winds from protoplanetary disks
11:10-11:25,Yuan CHEN,Tracing complex organic molecules (COMs) from ice to gas in YSOs with JWST and ALMA,https://cloud.tsinghua.edu.cn/d/037ee360168540b6a0a1/files/?p=%2FSlides%2Ftalks-17th-sun%2FYuan_CHEN.pdf
11:25-11:40,Mutian WANG,"The accretion history of EX Lup: a century of bursts, outbursts, and quiescence"
11:40-11:55,Josh CALCINO,"Kinematic signatures of circumbinary discs: spiral arms, fast flows, and doppler flips",https://cloud.tsinghua.edu.cn/d/037ee360168540b6a0a1/files/?p=%2FSlides%2Ftalks-17th-sun%2FJosh_CALCINO.pdf
11:55-14:10,Lunch,
"Disk & Planet Dynamics session, chaired by:Can Cui",,
14:10-14:30,Yanqin WU ,Shinning lights on proto-planetary disks
14:30-14:45,Hongping DENG,Are warps in class II circumstellar discs inherited from their formation?
14:45-15:00,Jiaru LI,Resonant excitation of planetary eccentricity due to a dispersing eccentric protoplanetary disk: a new mechanism of generating large planetary eccentricities,https://cloud.tsinghua.edu.cn/d/037ee360168540b6a0a1/files/?p=%2FSlides%2Ftalks-17th-sun%2FJiaru_LI.pdf
15:00-15:15,Man Hoi LEE,Resonant chains and the convergent migration of planets in protoplanetary disks
15:15-16:00,Coffee/Tea Break,
"Disk Gas Dynamics session, chaired by:Shoji Mori",,
16:00-16:20,Yuri FUJII,Reexamination of cosmic-ray ionization rate in protoplanetary disks with sheared magnetic fields
16:20-16:40,Satoshi OKUZUMI,Thermal evolution of protoplanetary disks
16:40-16:55,Yueh-Ning LEE,Non-ideal MHD and the size of early protoplanetary disks
16:55-17:10,Shangjia ZHANG,Vertical shear instability in stellar-irradiated protoplanetary disks
17:10-18:00,Poster,
18:00-20:00,Dinner,
